home_block,work_block,job_count,home_lat,home_lng,work_lat,work_lng
060371852022006,060372074001016,6,34.094051,-118.2136491,34.0533653,-118.2466343
060371852023007,060372074001016,2,34.0914293,-118.2158378,34.0533653,-118.2466343
060371852023008,060372074001016,5,34.0907663,-118.2172301,34.0533653,-118.2466343
060371853101010,060372074001016,2,34.0931916,-118.224109,34.0533653,-118.2466343
060371977002004,060372074001016,4,34.0663081,-118.2486786,34.0533653,-118.2466343
060371999001000,060372074001016,4,34.0667893,-118.2122387,34.0533653,-118.2466343
060372087201000,060372074001016,1,34.0645548,-118.2805025,34.0533653,-118.2466343
060372111211003,060372074001016,3,34.075314,-118.2852667,34.0533653,-118.2466343
060372211102004,060372074001016,1,34.0447506,-118.287455,34.0533653,-118.2466343
060371852023005,060372074001016,2,34.0928106,-118.2169478,34.0533653,-118.2466343
060371977001000,060372074001016,9,34.0700602,-118.2489275,34.0533653,-118.2466343
060371957202006,060372074001016,2,34.0703062,-118.2628931,34.0533653,-118.2466343
060372087202002,060372074001016,1,34.0599486,-118.2823634,34.0533653,-118.2466343
060372212201001,060372074001016,4,34.0452502,-118.2967167,34.0533653,-118.2466343
060372243101002,060372074001016,2,34.0456242,-118.2820257,34.0533653,-118.2466343
060372123061001,060372074001016,1,34.056837,-118.2935055,34.0533653,-118.2466343
060371957201005,060372074001016,1,34.0750004,-118.2623498,34.0533653,-118.2466343
060371972001010,060372074001016,2,34.0858855,-118.2302904,34.0533653,-118.2466343
060371852031006,060372074001016,2,34.0974073,-118.2290485,34.0533653,-118.2466343
060371853102003,060372074001016,1,34.0896403,-118.222307,34.0533653,-118.2466343
060371853102007,060372074001016,3,34.0879277,-118.2184841,34.0533653,-118.2466343
060371852031007,060372074001016,2,34.0968382,-118.2281056,34.0533653,-118.2466343
060371853201003,060372074001016,1,34.0925385,-118.2268488,34.0533653,-118.2466343
060371972002003,060372074001016,5,34.0901968,-118.2336483,34.0533653,-118.2466343
060371993002006,060372074001016,2,34.08291,-118.2114769,34.0533653,-118.2466343
060372033001013,060372074001016,2,34.0556794,-118.2077059,34.0533653,-118.2466343
060372041202005,060372074001016,1,34.0322329,-118.2014211,34.0533653,-118.2466343
060372094031001,060372074001016,1,34.0541789,-118.2735882,34.0533653,-118.2466343
060371994002009,060372074001016,1,34.0868305,-118.2116302,34.0533653,-118.2466343
060371853101006,060372074001016,1,34.0947856,-118.225705,34.0533653,-118.2466343
060371853101007,060372074001016,2,34.0941291,-118.222477,34.0533653,-118.2466343
060371853102005,060372074001016,3,34.0885067,-118.2206052,34.0533653,-118.2466343
060372071021005,060372074001016,5,34.0619718,-118.2406667,34.0533653,-118.2466343
060371991102000,060372074001016,9,34.0777857,-118.2001415,34.0533653,-118.2466343
060371991102003,060372074001016,1,34.0816359,-118.2005442,34.0533653,-118.2466343
060371992021001,060372074001016,4,34.084183,-118.2024516,34.0533653,-118.2466343
060372041201000,060372074001016,2,34.036002,-118.2025589,34.0533653,-118.2466343
060372112021006,060372074001016,1,34.0736076,-118.2923126,34.0533653,-118.2466343
060372264201005,060372074001016,1,34.0207354,-118.2606725,34.0533653,-118.2466343
060372264203002,060372074001016,4,34.0214401,-118.2549578,34.0533653,-118.2466343
060371852031004,060372074001016,5,34.0986047,-118.2308467,34.0533653,-118.2466343
060371853101000,060372074001016,3,34.0957961,-118.2260563,34.0533653,-118.2466343
060371853101009,060372074001016,2,34.0923844,-118.223442,34.0533653,-118.2466343
